names,scores,logfoldchanges,pvals,pvals_adj,minus_log10_padj,direction
BAG1,15.034927,1.0152937,4.335243881481366e-51,4.854051755822578e-50,49.313895597359604,High-up
GNL1,14.940971,1.3782064,1.783567019647632e-50,1.988859223541768e-49,48.70139595624344,High-up
MAP2K2,14.877689,1.0389017,4.60115825714717e-50,5.089216339484238e-49,48.29334908714062,High-up
DNAJB11,14.865259,0.9669539,5.539988512757524e-50,6.078413099137974e-49,48.216209787872465,High-up
UBE2N,14.850739,0.9378931,6.880640940545535e-50,7.51916441982816e-49,48.123830418453615,High-up
NAA50,14.722413,1.1182779,4.62845540256484e-49,5.017833396748866e-48,47.299483762326666,High-up
ATP6V1F,14.604528,0.9478101,2.6279456915863655e-48,2.826593554887382e-47,46.54873663564206,High-up
RPL22L1,14.581665,0.9766148,3.674427488616364e-48,3.9366807446666303e-47,46.40486980401891,High-up
DDX1,14.544432,1.0208077,6.33551288983714e-48,6.761180162123072e-47,46.16997749146021,High-up
CPE,14.505917,2.1123776,1.1114208844153834e-47,1.1814793214874816e-46,45.92757387508322,High-up
PRKCDBP,14.498835,1.7311568,1.2322369097315836e-47,1.3048338129405762e-46,45.88444479768878,High-up
RPS26,14.488386,0.9377607,1.434748121691646e-47,1.5134099878230028e-46,45.82004340421138,High-up
TMEM50A,14.443818,0.9335009,2.7421901915113896e-47,2.8814090781573522e-46,45.54039507987493,High-up
GNG11,14.385018,2.8414912,6.426134117405888e-47,6.726512800288463e-46,45.17221002702342,High-up
TUBG1,14.383916,1.1963742,6.529308973983936e-47,6.80842447210844e-46,45.16695337593349,High-up
VTA1,14.337015,1.6691406,1.2846314103743706e-46,1.3344536171645554e-45,44.8746965167881,High-up
EIF3M,14.281565,0.89739025,2.851251925281061e-46,2.950613734798431e-45,44.530087640322265,High-up
ACTG1,14.237508,1.0838358,5.360451351568901e-46,5.505546275370766e-45,44.25919958266703,High-up
SERBP1,14.034039,0.8678116,9.649675758589118e-45,9.83690827330801e-44,43.007141378278746,High-up
CHMP4C,13.995188,1.7443786,1.6678900371972361e-44,1.693931442982472e-43,42.77110417047338,High-up
USP48,13.994669,1.5158497,1.6801009106889897e-44,1.700013217778637e-43,42.769547701924076,High-up
TSR1,13.982425,1.8808365,1.9956987580948194e-44,2.0119000026254787e-43,42.696393608798616,High-up
PABPC1,13.976624,0.91351825,2.1651990936012585e-44,2.174751442543617e-43,42.66259037241062,High-up
ZC3H14,13.923285,1.4788293,4.573935924016459e-44,4.560581366574075e-43,42.3409797915019,High-up
MRPS7,13.898744,0.96599424,6.446273226257226e-44,6.404079437867179e-43,42.1935432896176,High-up
ICT1,13.859274,1.0393305,1.1180017067642503e-43,1.1066596604637433e-42,41.95598592050198,High-up
CALU,13.816874,0.96044993,2.0163852096388386e-43,1.9815699254436355e-42,41.70299059771864,High-up
HIST1H4C,13.726941,0.9562087,7.002841572136154e-43,6.832772562527134e-42,41.165403035077595,High-up
SFSWAP,13.689651,1.6890997,1.1707153498342152e-42,1.1382186248210235e-41,40.94377431225184,High-up
RTCA,13.644179,1.2380798,2.1866120715599463e-42,2.11837736861765e-41,40.67399667193874,High-up
ZNF146,13.641761,1.4625422,2.260369445281817e-42,2.1820951676713513e-41,40.661126312458386,High-up
TKTL1,13.634958,4.1383433,2.4813383510333124e-42,2.3869775968390877e-41,40.62215165707821,High-up
DNAJC7,13.588422,0.87186253,4.69087904162075e-42,4.480937601995765e-41,40.3486311036874,High-up
TMED9,13.498526,0.83804077,1.5953785219600744e-41,1.5186669414616458e-40,39.81853746072924,High-up
PPP1R11,13.485175,0.9407012,1.9121061636390087e-41,1.8138451524520041e-40,39.74139979131456,High-up
CCL20,13.39658,1.5427268,6.33146212150699e-41,5.964673971019688e-40,39.224413289874065,High-up
ARPC5L,13.367708,0.8653913,9.337402868486535e-41,8.736227615310005e-40,39.058676059302186,High-up
